iter	Passed	Remaining
1317	20293	10500
1318	20302	10482
1319	20310	10462
1320	20318	10443
1321	20326	10424
1322	20335	10405
1323	20343	10387
1324	20351	10367
1325	20359	10348
1326	20368	10329
1327	20375	10310
1328	20383	10291
1329	20392	10272
1330	20400	10253
1331	20407	10234
1332	20416	10216
1333	20424	10197
1334	20433	10178
1335	20441	10159
1336	20449	10140
1337	20457	10121
1338	20465	10102
1339	20473	10084
1340	20481	10065
1341	20489	10046
1342	20497	10027
1343	20507	10009
1344	20514	9990
1345	20522	9971
1346	20530	9952
1347	20538	9934
1348	20547	9915
1349	20554	9896
1350	20563	9878
1351	20571	9859
1352	20579	9841
1353	20586	9822
1354	20595	9803
1355	20602	9784
1356	20611	9766
1357	20619	9747
1358	20627	9729
1359	20635	9710
1360	20644	9692
1361	20652	9674
1362	20661	9656
1363	20669	9637
1364	20677	9619
1365	20685	9600
1366	20694	9582
1367	20702	9564
1368	20710	9546
1369	20719	9527
1370	20727	9509
1371	20735	9491
1372	20743	9472
1373	20752	9454
1374	20760	9436
1375	20768	9418
1376	20777	9400
1377	20785	9382
1378	20793	9363
1379	20802	9345
1380	20810	9327
1381	20818	9309
1382	20825	9291
1383	20834	9273
1384	20842	9255
1385	20851	9237
1386	20860	9219
1387	20869	9201
1388	20878	9184
1389	20887	9166
1390	20897	9149
1391	20905	9131
1392	20914	9113
1393	20923	9095
1394	20931	9078
1395	20940	9060
1396	20949	9042
1397	20957	9024
1398	20966	9007
1399	20974	8989
1400	20984	8972
1401	20993	8954
1402	21002	8937
1403	21011	8919
1404	21020	8901
1405	21029	8884
1406	21037	8866
1407	21045	8848
1408	21053	8830
1409	21061	8812
1410	21069	8795
1411	21077	8777
1412	21085	8759
1413	21093	8741
1414	21102	8724
1415	21110	8706
1416	21118	8689
1417	21127	8671
1418	21136	8654
1419	21144	8636
1420	21152	8618
1421	21161	8601
1422	21169	8583
1423	21177	8566
1424	21185	8548
1425	21194	8531
1426	21202	8513
1427	21210	8496
1428	21218	8478
1429	21227	8461
1430	21235	8443
1431	21244	8426
1432	21251	8408
1433	21260	8391
1434	21268	8374
1435	21277	8356
1436	21286	8339
1437	21295	8322
1438	21303	8305
1439	21311	8287
1440	21319	8270
1441	21328	8253
1442	21336	8235
1443	21344	8218
1444	21352	8201
1445	21360	8183
1446	21368	8166
1447	21377	8149
1448	21385	8131
1449	21393	8114
1450	21401	8097
1451	21410	8080
1452	21418	8063
1453	21427	8046
1454	21435	8029
1455	21444	8012
1456	21452	7994
1457	21460	7977
1458	21468	7960
1459	21477	7943
1460	21485	7926
1461	21493	7909
1462	21501	7892
1463	21510	7875
1464	21518	7858
1465	21526	7841
1466	21534	7824
1467	21543	7807
1468	21551	7790
1469	21559	7773
1470	21567	7756
1471	21575	7739
1472	21583	7722
1473	21592	7705
1474	21600	7688
1475	21609	7671
1476	21617	7654
1477	21626	7638
1478	21634	7621
1479	21644	7604
1480	21653	7588
1481	21662	7571
1482	21672	7555
1483	21680	7538
1484	21689	7521
1485	21697	7505
1486	21705	7488
1487	21714	7471
1488	21722	7454
1489	21730	7438
1490	21739	7421
1491	21747	7404
1492	21756	7388
1493	21764	7371
1494	21772	7354
1495	21780	7337
1496	21788	7321
1497	21797	7304
1498	21805	7287
1499	21813	7271
1500	21821	7254
1501	21829	7237
1502	21838	7221
1503	21847	7204
1504	21855	7188
1505	21864	7172
1506	21872	7155
1507	21881	7139
1508	21889	7122
1509	21898	7106
1510	21906	7089
1511	21914	7072
1512	21922	7056
1513	21930	7039
1514	21938	7023
1515	21947	7006
1516	21954	6990
1517	21963	6973
1518	21971	6957
1519	21979	6940
1520	21987	6924
1521	21995	6907
1522	22003	6891
1523	22011	6875
1524	22024	6860
1525	22036	6844
1526	22047	6829
1527	22057	6813
1528	22065	6797
1529	22073	6780
1530	22081	6764
1531	22090	6748
1532	22098	6731
1533	22106	6715
1534	22115	6699
1535	22124	6683
1536	22132	6667
1537	22141	6651
1538	22149	6634
1539	22157	6618
1540	22165	6602
1541	22174	6586
1542	22182	6569
1543	22190	6553
1544	22198	6537
1545	22206	6521
1546	22214	6505
1547	22223	6489
1548	22231	6472
1549	22240	6456
1550	22249	6440
1551	22257	6424
1552	22265	6408
1553	22273	6392
1554	22282	6376
1555	22290	6360
1556	22300	6344
1557	22308	6328
1558	22317	6312
1559	22325	6296
1560	22333	6280
1561	22341	6264
1562	22350	6248
1563	22358	6233
1564	22367	6217
1565	22375	6201
1566	22384	6185
1567	22392	6169
1568	22400	6153
1569	22408	6137
1570	22417	6121
1571	22425	6105
1572	22433	6089
1573	22441	6073
1574	22450	6058
1575	22458	6042
1576	22467	6026
1577	22475	6010
1578	22483	5994
1579	22491	5978
1580	22499	5962
1581	22507	5946
1582	22515	5931
1583	22523	5915
1584	22531	5899
1585	22539	5883
1586	22548	5867
1587	22556	5852
1588	22565	5836
1589	22573	5820
1590	22581	5805
1591	22590	5789
1592	22599	5774
1593	22607	5758
1594	22615	5742
1595	22624	5726
1596	22633	5711
1597	22640	5695
1598	22649	5679
1599	22656	5664
1600	22665	5648
1601	22673	5632
1602	22681	5617
1603	22689	5601
1604	22698	5586
1605	22706	5570
1606	22714	5554
1607	22723	5539
1608	22731	5524
1609	22740	5508
1610	22748	5492
1611	22756	5477
1612	22764	5461
1613	22772	5446
1614	22780	5430
1615	22789	5415
1616	22798	5399
1617	22807	5384
1618	22816	5369
1619	22824	5353
1620	22833	5338
1621	22844	5323
1622	22852	5308
1623	22861	5293
1624	22869	5277
1625	22879	5262
1626	22887	5247
1627	22896	5231
1628	22904	5216
1629	22912	5201
1630	22921	5185
1631	22929	5170
1632	22938	5155
1633	22947	5140
1634	22957	5125
1635	22966	5109
1636	22976	5094
1637	22985	5079
1638	22993	5064
1639	23002	5049
1640	23011	5034
1641	23020	5019
1642	23028	5003
1643	23037	4988
1644	23045	4973
1645	23053	4958
1646	23061	4942
1647	23070	4927
1648	23078	4912
1649	23087	4897
1650	23095	4882
